observation_date,DPCERG3A086NBEA
1929-01-01,8.787
1930-01-01,8.415
1931-01-01,7.514
1932-01-01,6.627
1933-01-01,6.391
1934-01-01,6.681
1935-01-01,6.846
1936-01-01,6.909
1937-01-01,7.160
1938-01-01,6.997
1939-01-01,6.929
1940-01-01,6.988
1941-01-01,7.423
1942-01-01,8.347
1943-01-01,9.115
1944-01-01,9.638
1945-01-01,10.024
1946-01-01,10.722
1947-01-01,11.809
1948-01-01,12.477
1949-01-01,12.379
1950-01-01,12.527
1951-01-01,13.380
1952-01-01,13.654
1953-01-01,13.834
1954-01-01,13.950
1955-01-01,14.005
1956-01-01,14.284
1957-01-01,14.718
1958-01-01,15.066
1959-01-01,15.290
1960-01-01,15.541
1961-01-01,15.702
1962-01-01,15.886
1963-01-01,16.077
1964-01-01,16.309
1965-01-01,16.544
1966-01-01,16.962
1967-01-01,17.389
1968-01-01,18.069
1969-01-01,18.883
1970-01-01,19.766
1971-01-01,20.605
1972-01-01,21.308
1973-01-01,22.455
1974-01-01,24.793
1975-01-01,26.860
1976-01-01,28.333
1977-01-01,30.176
1978-01-01,32.276
1979-01-01,35.143
1980-01-01,38.928
1981-01-01,42.415
1982-01-01,44.771
1983-01-01,46.676
1984-01-01,48.439
1985-01-01,50.128
1986-01-01,51.219
1987-01-01,52.802
1988-01-01,54.865
1989-01-01,57.261
1990-01-01,59.775
1991-01-01,61.774
1992-01-01,63.420
1993-01-01,65.000
1994-01-01,66.356
1995-01-01,67.754
1996-01-01,69.203
1997-01-01,70.407
1998-01-01,70.967
1999-01-01,72.001
2000-01-01,73.822
2001-01-01,75.302
2002-01-01,76.291
2003-01-01,77.894
2004-01-01,79.827
2005-01-01,82.127
2006-01-01,84.440
2007-01-01,86.607
2008-01-01,89.170
2009-01-01,88.921
2010-01-01,90.514
2011-01-01,92.804
2012-01-01,94.534
2013-01-01,95.781
2014-01-01,97.121
2015-01-01,97.299
2016-01-01,98.284
2017-01-01,100.000
2018-01-01,102.047
2019-01-01,103.509
2020-01-01,104.641
2021-01-01,108.972
2022-01-01,116.111
2023-01-01,120.491
2024-01-01,123.502
