model_name,absent_binary_univariate_binary,chickenpox_dense_univariate_dense,coinbase_days_univariate_days,coinbase_economics_univariate_economics,delhi_climate_univariate_climate,electricity_energy_univariate_energy,employees_healthcare_univariate_healthcare,federalfuns_weeks_univariate_weeks,forestfires_continuous_univariate_continuous,german_quaterly_univariate_quaterly,germanhouses_sales_univariate_sales,inventories_months_univariate_months,invetories_manufacturing_univariate_manufacturing,madrid_transport_univariate_transport,occupancy_count_univariate_count,patient_sparse_univariate_sparse,pconsumption_years_univariate_years,retail_categorical_univariate_categorical,software_nonstationary_univariate_nonstationary,soil_nature_univariate_nature,swjobpostings_software_univariate_software,synthetic_additive2_univariate_additive2,synthetic_cyclic_univariate_cyclic,synthetic_multiplticative_univariate_multiplticative,synthetic_nonstationary_univariate_nonstationary,wtraffic_web_univariate_web
arima,0.8575060007723169,1.0688391776948931,0.1090716743426581,0.1090716743426581,0.624214010269568,1.007045525255977,0.4908375382954806,1.5650048607647722,0.7830801150535437,0.6946409362091882,0.6946409362091882,1.5932478154390095,1.5932478154390095,1.394280625225181,0.0,0.0,0.4184037170456134,0.0195258902943623,0.6689345934061346,0.0273180148366057,0.6689345934061346,0.112336736827654,0.6527739316657392,3.433206160705687e-07,0.6478316519566094,0.156636268280684
chronos,0.4602101551010175,0.8099061968808101,0.2163023258628923,0.1020833871423548,0.4897481727461688,0.486672772986046,0.3935865873906674,0.4857747567621133,0.8974417795304146,0.646420013830498,0.5274185358737261,1.166920057890592,1.177610052680507,2.5007137861587636,0.0012483192362198,0.0111060923656536,0.3239023279179003,0.0003548135121985,0.2225924353312429,0.0177712390340348,0.2454097504976122,0.0094872424291044,0.8708116408429053,8.415885922900205e-06,0.6763048181677961,0.3534048149975644
croston_classic,0.7194274130581361,0.8646671806894554,0.1969794026035332,0.1969794026035332,0.5776453093105435,1.167876991707414,0.7597506112464615,1.6390558316143498,0.8163588456548974,0.8608510709642241,0.8608510709642241,1.816870518147105,1.816870518147105,1.262968408790145,2.0777030889413644e-16,2.5773034500226853e-18,0.8221248304968563,5.4489746048602684e-14,0.7965294714500173,0.0429800375865791,0.7965294714500173,0.1171149695016909,0.644467905305185,3.361157547145352e-07,0.6375242356822878,0.0966762700858993
exponential_smoothing,1.004974775703367,1.0829799264537443,0.0849094206498953,0.0849094206498953,0.544317910777824,0.9082697558522228,0.5920700936190171,1.3960871054323811,0.7936074887065696,0.7677693459716038,0.7677693459716038,1.5641888085408024,1.5641888085408024,1.3121971232620189,0.0,0.0,0.492195970200025,0.0,0.6177574942956872,0.0344754522281633,0.6177574942956872,0.0865961264514183,0.6532622969618513,4.845547520483325e-07,0.6422854554125477,0.1650675597800058
lafn,0.5186544346295656,0.5988261148410441,0.569518671509837,0.569518671509837,0.5146054022799267,0.3404882984237764,0.3543130651911979,0.8907680079027805,0.9177574823021826,0.481486165335628,0.481486165335628,1.370502272114833,1.370502272114833,2.1598250040769673,0.4438848136238446,3.675602717715006e-07,0.1499455641257582,0.0389820478761473,0.0868378251079605,0.0135443214479461,0.0868378251079605,0.2125514848402129,0.444311770096391,8.91435582320215e-07,0.6536590399863638,0.1791139538487994
lagllama,0.5965989678523091,0.7794730949906222,0.9290451738877018,1.0480216226666963,0.6160951540286627,0.8242158054586358,1.1020580475694384,2.197810525877004,0.8418416646580203,1.2510248436672156,1.0932192390737754,1.2800785651591613,1.4891691048639586,2.9387384796690257,0.7070076880435469,0.0391641871690971,1.5013771470416453,0.3735557821322782,0.8351810462043628,0.5248484434177118,1.6493454881323852,0.3204995741299429,0.9909399418410796,0.0012601111388269,0.723990057446259,0.5848075821073128
lstm,0.3499251157881493,0.6193362138063452,0.215321136526334,0.37788052508572,0.5084911972787721,0.3108149465534585,0.2614539159505966,0.7418646923562039,0.8184787628356424,0.6153012778604753,0.6303812456292092,1.0936576438969368,1.0156970565323258,1.421682218548618,0.0417022142487689,0.0004870360494952,0.4007950319858214,0.0004112235435636,0.5246212674501425,0.0598042479264626,0.6957190347354677,0.0899405298558537,0.4557391966900604,0.0005844189379217,0.7083977243176037,0.0415710913146244
moirai,0.594345872502196,0.4693950782051239,0.0658664715375883,0.0630283059413025,0.5476997420523558,0.0673855522141976,0.1071660300611238,0.5634414028535271,1.1162288114677832,0.4240221001615183,0.4471165848468836,0.9655278224436254,0.947316379154328,1.439700229141914,0.0405770110849802,727.8607771358683,0.0184667006438049,0.0445246577139354,0.0640293916396726,0.0019396761529861,0.0668492099216598,0.0085580462086496,0.535860655539959,0.3123888937317863,0.6775866149979212,0.0355209100823176
moirai_moe,0.5482364579637182,0.738263992484593,0.8499401999303736,0.8498037677479297,0.539639833439796,0.8712393318624269,1.0964594285094005,2.0905360967719853,0.9077154477706028,1.1869153603327027,1.1870059018690404,1.1781863386692626,1.1778999855866337,1.7397309019731175,0.4268424585319737,0.0384650305175618,1.5394223745692637,0.3391139266726877,0.7148457282932578,0.422989361064454,0.715117147648416,0.2187929923085251,0.784483380606034,0.0043754439524766,0.6518635861824063,0.6076807414288471
moment,0.7401984546675853,0.7339034108028443,1.7932394587575835,1.8007754928573414,0.4920590509634907,1.0578708987982566,0.7282899690296413,1.4612131143314864,0.9668825142777462,0.7208214329053892,0.7242598609497084,1.5447851175839256,1.5453630190739582,2.355823107112252,8.661972231687604e-07,5.127170884951758e-07,1.1116606969166662,0.0436831800345131,0.6878522850261651,0.054467345695146,0.6868428263501846,0.3308247936491822,0.8067969647903674,3.331862449488236e-07,0.6521497507610081,0.5890366453134522
prophet,1.1153166614551735,0.8000943905543968,0.3253001217608237,0.3253001217608237,0.8904382284003513,1.1812553061048592,0.1331476588752673,2.181948076526634,1.4112065595574217,1.5476433916548131,1.5476433916548131,1.959902117878824,1.959902117878824,1.8399866827707485,0.0005295738665478,0.0,0.4799639121073193,0.0465695177352728,0.5239437761695978,2.8961276023631993e-07,0.5239437761695978,0.0078607569106076,0.8265692553860279,3.323125039158818e-07,0.6726515941173744,0.6972388259977397
random_forest,0.8509925721165192,0.7776519733086479,0.2294682751200821,0.2294682751200821,0.5389102580678125,0.6205263146340562,0.4754195838217915,1.0579537570516702,0.9559767286288052,0.7405450220052887,0.7405450220052887,1.2890612260898913,1.2890612260898913,2.716030513447374,0.0219056501011847,1.3877787807814454e-16,0.3683158796654355,0.0161825043466224,0.7166648770341827,0.0302970215188768,0.7166648770341827,0.2064240327269827,0.5000364948043756,2.7262801931637426e-07,0.6579664060462125,0.4477607935472535
seasonal_naive,1.224042156166562,1.1527994291881938,0.2101579227276473,0.2101579227276473,0.7064526490789369,1.2323186004979256,0.7690437801580022,1.7247640465061636,1.0488096030678984,0.9172113574301204,0.9172113574301204,1.8097781269891873,1.8097781269891873,1.9769005856092168,0.0,0.0,1.225196746819042,0.0,0.8450227362283144,0.0436415993170184,0.8450227362283144,0.1175471000074075,0.7964354959057182,2.871618709376251e-07,1.0757118528031246,0.0610235057715823
svr,0.4378093896417753,0.5652464338229441,0.5904430949659476,0.5904430949659476,0.4463400335878124,1.2111419504763563,0.5974850980493962,1.005900278375837,1.033857654900788,0.7405450220052887,0.7405450220052887,1.5077487143241737,1.5077487143241737,2.2828347222718635,0.100044416215149,6.938893903907228e-18,0.3683158796654356,0.0999282424531095,0.6338107831033764,0.0478030232127733,0.6338107831033764,0.1898507401298535,0.4649608576865667,3.33563268293551e-07,0.6882125247543615,0.0694529248883345
tabpfn,0.4296590197708033,0.5936959581815322,0.1192775289964845,0.1192775289964845,0.6549542848644843,0.160108823719758,0.1705734482829534,0.8881081972597267,1.1000973741845694,0.4087518416565307,0.4087518416565307,1.173946361100831,1.173946361100831,3.1166735201935887,1.0641633518826412e-08,7.683574193562136e-10,0.036114876964371,0.0001952111766532,0.377111806689354,0.0309303492448708,0.377111806689354,0.0588902405996774,1.485874242246829,3.328006191952719e-07,0.6500629886480223,0.699477680196633
theta,1.1942914932684374,1.2362695551968723,1.4312656740706455,1.4312656740706455,1.2811596407395038,1.3289928845294867,0.9996707702540552,2.9650399524590125,0.7985847086728661,1.2433814811274762,1.2433814811274762,2.378358599235945,2.378358599235945,2.7791658901482084,2.6334491446362556,0.0,1.4672575469335143,0.0011464834629444,0.712276791817248,0.0819480397933246,0.712276791817248,1.262680918930442,0.6541630971290378,3.3220306481036496e-07,0.6462320000901144,0.0669633506773304
timesfm,0.3694951397975803,0.598068460051805,0.0784526293757914,0.0784526293757914,0.4728250547328859,0.0455472717557986,0.1176336358223398,0.4893991325549285,0.8465512308434612,0.6449307948517081,0.6449307948517081,1.3925276891659517,1.3925276891659517,1.6116019999161812,0.0069286852556957,0.0069286925092343,0.0474535335074994,0.0069286825865118,0.1538678650761232,0.0001183052152376,0.1538678650761232,0.0095209087445044,0.5286041694757126,0.006929141151627,0.6448843382528137,0.1416337087472042
tiny_time_mixer,0.5615740103756584,,0.1307731499839216,0.1307731499839216,0.6237262113760997,0.4292432085444774,0.1146035832371785,0.6238388514650457,0.967756244621047,0.5990663109523783,0.5990663109523783,1.478283185830916,1.478283185830916,2.0926640992586982,0.0104989419445702,0.0104990582796582,0.3598479445804026,0.0449633352412984,0.0458076445338338,0.0229769711935001,0.0458076445338338,0.0224191694138331,0.5648512357104447,0.0104989584491979,0.6618950926816646,0.3086189293375536
toto,1.9737887872326167,0.9086432209789144,0.1469257905668679,0.1821961646317796,0.5900218470755914,0.3408955721484121,0.1425709244661454,0.7689072228873707,1.0543635701613026,0.7027476328367883,0.6212948216897111,1.376549047591508,1.3440030782348975,1.984808470644668,0.0176264203971074,0.1313747539177747,0.0338230017741719,0.023289276413737,0.055434851154155,0.0004672869629554,0.0558266225028181,0.0058137896269397,0.5586799662044999,0.0045519330784623,0.6642914197926231,0.0402150186361079
xgboost,0.9741846835784104,1.0152301584769703,1.0864369318241884,1.0864369318241884,0.6256280134512808,1.345035600994862,,1.5638182818673014,1.1685297232325265,,,,,2.57912879035661,0.0076300772592732,4.493647717818128e-09,0.8360847554987074,0.023141010287325,1.091415376896224,0.0546320261744097,1.091415376896224,0.1426041478824769,0.4423931594382599,3.322039906709088e-07,0.6510881436388177,0.0504601495698103
