Airline,Date,Baggage,Scheduled,Cancelled,Enplaned
United,Jan-04,25015,45809,1017,4434315
United,Feb-04,16660,42675,312,4458657
United,Mar-04,19318,46512,321,5302929
United,Apr-04,15638,45309,162,5288871
United,May-04,19302,46630,652,5408451
United,Jun-04,21892,47663,549,5888419
United,Jul-04,26666,49860,605,6114334
United,Aug-04,25510,50837,666,6137271
United,Sep-04,13305,45832,778,5070901
United,Oct-04,17736,47012,386,5386126
United,Nov-04,15812,43060,337,4838455
United,Dec-04,32458,44613,763,5050794
United,Jan-05,25861,41537,1208,4472688
United,Feb-05,18647,37155,260,4131854
United,Mar-05,22264,40633,212,4971673
United,Apr-05,14262,39119,734,4628657
United,May-05,19977,41045,453,5000294
United,Jun-05,28024,40962,533,5304153
United,Jul-05,23513,42173,618,5401240
United,Aug-05,21000,42077,486,5252634
United,Sep-05,14138,39412,391,4589154
United,Oct-05,16628,40830,400,4882465
United,Nov-05,15254,39686,259,4701413
United,Dec-05,29235,41289,742,4851280
United,Jan-06,23232,40336,786,4539705
United,Feb-06,18551,37729,768,4334906
United,Mar-06,22246,42644,869,5256828
United,Apr-06,18019,40872,617,5083738
United,May-06,19996,42714,711,5126212
United,Jun-06,27588,42223,784,5271180
United,Jul-06,30325,43350,956,5618165
United,Aug-06,39123,44062,582,5375597
United,Sep-06,37039,40830,680,4707524
United,Oct-06,35640,42495,784,5079915
United,Nov-06,28896,40745,472,4757928
United,Dec-06,40483,42008,2229,4668833
United,Jan-07,41787,41310,653,4606808
United,Feb-07,34581,37665,1863,4262812
United,Mar-07,33920,42714,946,5317182
United,Apr-07,25667,40822,982,5151605
United,May-07,25524,41520,370,5279051
United,Jun-07,31242,40987,848,5363878
United,Jul-07,30356,42486,912,5424919
United,Aug-07,29331,43176,1189,5411763
United,Sep-07,18033,39276,654,4524961
United,Oct-07,20147,41235,725,4921731
United,Nov-07,16927,38803,515,4555410
United,Dec-07,33269,40008,2272,4331051
United,Jan-08,26113,38026,1481,4033374
United,Feb-08,22059,36764,1519,4056110
United,Mar-08,23932,40449,934,4920724
United,Apr-08,22994,38797,682,4679752
United,May-08,23217,39864,718,4874174
United,Jun-08,29690,40237,1204,5068394
United,Jul-08,26604,41381,1328,5117094
United,Aug-08,32827,40325,844,5062719
United,Sep-08,17551,44047,404,4168949
United,Oct-08,15429,35482,238,4445721
United,Nov-08,13138,31040,254,3724922
United,Dec-08,29803,32643,1000,3962678
United,Jan-09,19653,31508,728,3573605
United,Feb-09,12627,29896,505,3433448
United,Mar-09,16285,34554,783,4272285
United,Apr-09,13517,31387,579,4034232
United,May-09,15083,31798,400,4107447
United,Jun-09,22844,32990,661,4423143
United,Jul-09,19259,33948,533,4627521
United,Aug-09,18646,33622,488,4520375
United,Sep-09,11270,29860,255,3755891
United,Oct-09,14513,30637,420,4008420
United,Nov-09,9814,27739,177,3540350
United,Dec-09,22845,29110,849,3652201
United,Jan-10,17307,27744,451,3368014
United,Feb-10,13269,26091,1469,3155234
United,Mar-10,14782,29704,465,3977181
United,Apr-10,11121,28178,186,3782503
United,May-10,11947,28874,292,3921376
United,Jun-10,15784,29314,416,4121856
United,Jul-10,14309,30386,383,4249219
United,Aug-10,14099,30637,344,4263211
United,Sep-10,9435,28072,161,3679517
United,Oct-10,9565,29144,140,3952549
United,Nov-10,8597,27318,104,3573268
United,Dec-10,14415,27619,599,3493643
