Date,USD_Price,GBP_Price,CAD_Price,AUD_Price
1999-01-01,42.49,69.928,28.13,26.792
1999-02-01,42.68,68.394,28.302,26.409
1999-03-01,42.405,68.304,28.12,26.916
1999-04-01,42.81,68.903,29.392,28.319
1999-05-01,42.85,68.689,29.074,27.803
1999-06-01,43.38,68.432,29.665,28.989
1999-07-01,43.35,70.292,28.766,28.214
1999-08-01,43.495,69.753,29.153,27.812
1999-09-01,43.63,71.872,29.737,28.476
1999-10-01,43.42,71.37,29.529,27.73
1999-11-01,43.405,69.396,29.445,27.569
1999-12-01,43.5,70.388,30.083,28.564
2000-01-01,43.625,70.494,30.173,27.788
2000-02-01,43.614,68.861,30.101,26.977
2000-03-01,43.6,69.415,30.088,26.489
2000-04-01,43.65,67.745,29.473,25.485
2000-05-01,44.575,66.925,29.78,25.517
2000-06-01,44.65,67.743,30.161,26.64
2000-07-01,45.05,67.552,30.31,26.154
2000-08-01,45.805,66.317,31.113,26.427
2000-09-01,45.98,67.88,30.586,24.956
2000-10-01,46.845,67.836,30.768,24.422
2000-11-01,46.87,66.861,30.5,24.768
2000-12-01,46.68,69.81,31.145,26.082
2001-01-01,46.39,67.892,30.96,25.558
2001-02-01,46.54,67.23,30.297,24.492
2001-03-01,46.71,66.135,29.631,22.67
2001-04-01,46.84,67.089,30.509,23.998
2001-05-01,47.0,66.66,30.553,23.775
2001-06-01,47.04,66.604,31.056,24.059
2001-07-01,47.13,67.153,30.734,24.024
2001-08-01,47.12,68.507,30.377,24.947
2001-09-01,47.85,70.555,30.296,23.506
2001-10-01,47.99,69.797,30.207,24.151
2001-11-01,47.93,68.262,30.467,25.012
2001-12-01,48.22,70.136,30.289,24.633
2002-01-01,48.51,68.433,30.581,24.645
2002-02-01,48.71,68.969,30.415,25.185
2002-03-01,48.78,69.55,30.574,26.026
2002-04-01,48.93,71.316,31.209,26.351
2002-05-01,49.01,71.263,31.97,27.806
2002-06-01,48.86,74.929,32.17,27.535
2002-07-01,48.64,76.06,30.707,26.428
2002-08-01,48.47,75.124,31.096,26.7
2002-09-01,48.35,75.846,30.468,26.233
2002-10-01,48.34,75.642,31.019,26.826
2002-11-01,48.31,75.224,30.871,27.085
2002-12-01,47.95,77.262,30.489,26.907
2003-01-01,47.8,78.764,31.421,28.08
2003-02-01,47.61,74.914,32.11,28.978
2003-03-01,47.48,75.175,32.328,28.69
2003-04-01,47.32,75.657,33.015,29.653
2003-05-01,47.02,76.944,34.402,30.758
2003-06-01,46.41,76.785,34.458,31.264
2003-07-01,46.165,74.342,32.858,29.963
2003-08-01,45.86,72.342,33.077,29.697
2003-09-01,45.65,75.838,33.745,31.062
2003-10-01,45.32,76.824,34.344,32.097
2003-11-01,45.77,78.834,35.212,33.149
2003-12-01,45.625,81.47,35.179,34.303
2004-01-01,45.27,82.549,34.178,34.579
2004-02-01,45.205,84.445,33.842,34.977
2004-03-01,43.35,80.017,33.095,33.239
2004-04-01,44.47,79.117,32.459,32.052
2004-05-01,45.48,83.303,33.381,32.525
2004-06-01,45.975,83.645,34.489,32.111
2004-07-01,46.375,84.405,34.823,32.585
2004-08-01,46.315,83.476,35.288,32.636
2004-09-01,45.925,83.209,36.378,33.408
2004-10-01,45.335,83.323,37.219,33.94
2004-11-01,44.5,85.037,37.535,34.352
2004-12-01,43.25,82.979,35.953,33.846
2005-01-01,43.645,82.207,35.182,33.831
2005-02-01,43.635,83.88,35.376,34.578
2005-03-01,43.675,82.548,36.114,33.733
2005-04-01,43.43,82.884,34.492,33.919
2005-05-01,43.7,79.435,34.842,33.029
2005-06-01,43.485,77.908,35.483,33.16
2005-07-01,43.44,76.326,35.538,32.864
2005-08-01,44.015,79.387,37.036,33.233
2005-09-01,43.955,77.532,37.786,33.459
2005-10-01,45.07,79.792,38.153,33.724
2005-11-01,45.89,79.387,39.365,33.878
2005-12-01,44.995,77.452,38.705,32.997
2006-01-01,43.925,78.142,38.544,33.328
2006-02-01,44.275,77.665,38.959,32.874
2006-03-01,44.5,77.339,38.083,31.873
2006-04-01,44.9,82.025,40.195,34.129
2006-05-01,46.305,86.588,42.042,34.84
2006-06-01,45.88,84.775,41.069,34.057
2006-07-01,46.5,86.841,41.087,35.63
2006-08-01,46.48,88.523,42.117,35.487
2006-09-01,45.91,85.731,40.95,34.18
2006-10-01,44.92,85.676,40.032,34.784
2006-11-01,44.6,87.65,39.077,35.169
2006-12-01,44.115,86.406,37.852,34.818
2007-01-01,44.08,86.573,37.469,34.235
2007-02-01,44.09,86.593,37.705,34.748
2007-03-01,43.12,84.871,37.39,34.864
2007-04-01,41.045,82.055,37.002,34.094
2007-05-01,40.375,79.969,37.732,33.41
